, wind, old_coal_sub_st, old_ng_cc, old_ng_gt, new_coal_st, new_ng_cc, new_ng_gt_aero, new_nuke_st
wk01.h001,        1.28,        2.29,        0.00,        0.00,        0.00,        0.62,        0.00,        0.00
wk01.h002,        1.35,        2.29,        0.00,        0.00,        0.00,        0.37,        0.00,        0.00
wk01.h003,        1.28,        2.29,        0.00,        0.00,        0.00,        0.33,        0.00,        0.00
wk01.h004,        1.47,        2.29,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk01.h005,        1.49,        2.25,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk01.h006,        1.58,        2.24,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk01.h007,        1.65,        2.29,        0.00,        0.00,        0.00,        0.18,        0.00,        0.00
wk01.h008,        1.60,        2.29,        0.29,        0.00,        0.00,        0.23,        0.00,        0.00
wk01.h009,        1.52,        2.29,        0.41,        0.00,        0.00,        0.40,        0.00,        0.00
wk01.h010,        1.37,        2.29,        0.69,        0.00,        0.00,        0.40,        0.00,        0.00
wk01.h011,        1.61,        2.29,        0.47,        0.00,        0.00,        0.40,        0.00,        0.00
wk01.h012,        2.12,        2.13,        0.29,        0.00,        0.00,        0.12,        0.00,        0.00
wk01.h013,        1.95,        2.20,        0.29,        0.00,        0.00,        0.12,        0.00,        0.00
wk01.h014,        2.20,        2.12,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk01.h015,        2.17,        2.05,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk01.h016,        1.96,        2.23,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk01.h017,        1.86,        2.29,        0.00,        0.00,        0.00,        0.18,        0.00,        0.00
wk01.h018,        1.58,        2.29,        0.00,        0.00,        0.00,        0.54,        0.00,        0.00
wk01.h019,        1.29,        2.29,        0.00,        0.00,        0.00,        1.15,        0.00,        0.00
wk01.h020,        1.31,        2.29,        0.00,        0.00,        0.00,        1.42,        0.00,        0.00
wk01.h021,        0.85,        2.29,        0.27,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h022,        0.61,        2.29,        0.47,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h023,        0.42,        2.29,        0.56,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h024,        0.38,        2.29,        0.45,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h025,        0.27,        2.29,        0.42,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h026,        0.30,        2.29,        0.35,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h027,        0.27,        2.29,        0.38,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h028,        0.49,        2.29,        0.20,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h029,        0.45,        2.29,        0.31,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h030,        0.46,        2.29,        0.46,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h031,        0.41,        2.29,        0.73,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h032,        0.63,        2.29,        0.84,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h033,        0.52,        2.29,        1.15,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h034,        0.10,        2.29,        1.64,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h035,        0.00,        2.29,        1.68,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h036,        0.00,        2.29,        1.44,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h037,        0.00,        2.29,        1.27,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h038,        0.00,        2.29,        1.07,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h039,        0.00,        2.29,        0.87,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h040,        0.00,        2.29,        0.69,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h041,        0.00,        2.29,        0.62,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h042,        0.02,        2.29,        0.69,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h043,        0.10,        2.29,        1.06,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h044,        0.45,        2.29,        1.20,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h045,        0.85,        2.29,        0.97,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h046,        1.16,        2.29,        0.66,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h047,        1.02,        2.29,        0.64,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h048,        1.43,        2.29,        0.00,        0.00,        0.00,        1.52,        0.00,        0.00
wk01.h049,        1.17,        2.29,        0.00,        0.00,        0.00,        1.57,        0.00,        0.00
wk01.h050,        1.56,        2.29,        0.00,        0.00,        0.00,        1.11,        0.00,        0.00
wk01.h051,        2.14,        2.29,        0.00,        0.00,        0.00,        0.53,        0.00,        0.00
wk01.h052,        1.83,        2.29,        0.00,        0.00,        0.00,        0.87,        0.00,        0.00
wk01.h053,        1.91,        2.29,        0.00,        0.00,        0.00,        0.93,        0.00,        0.00
wk01.h054,        2.21,        2.29,        0.00,        0.00,        0.00,        0.93,        0.00,        0.00
wk01.h055,        2.19,        2.29,        0.00,        0.00,        0.00,        1.53,        0.00,        0.00
wk01.h056,        2.01,        2.29,        0.76,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h057,        2.00,        2.29,        0.53,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h058,        1.76,        2.29,        0.59,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h059,        1.57,        2.29,        0.65,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h060,        1.21,        2.29,        0.79,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h061,        1.05,        2.29,        0.70,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h062,        0.94,        2.29,        0.62,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h063,        0.56,        2.29,        0.87,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h064,        0.65,        2.29,        0.71,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h065,        0.27,        2.29,        1.15,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h066,        0.23,        2.29,        1.33,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h067,        0.45,        2.29,        1.45,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h068,        0.27,        2.29,        1.82,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h069,        0.40,        2.29,        1.61,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h070,        0.62,        2.29,        1.22,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h071,        0.89,        2.29,        0.62,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h072,        0.99,        2.29,        0.00,        0.00,        0.00,        1.60,        0.05,        0.00
wk01.h073,        0.80,        2.29,        0.00,        0.00,        0.00,        1.52,        0.00,        0.00
wk01.h074,        0.71,        2.29,        0.00,        0.00,        0.00,        1.43,        0.00,        0.00
wk01.h075,        1.00,        2.29,        0.00,        0.00,        0.00,        1.07,        0.00,        0.00
wk01.h076,        1.10,        2.29,        0.00,        0.00,        0.00,        0.97,        0.00,        0.00
wk01.h077,        1.06,        2.29,        0.00,        0.00,        0.00,        1.05,        0.00,        0.00
wk01.h078,        1.21,        2.29,        0.00,        0.00,        0.00,        1.13,        0.00,        0.00
wk01.h079,        1.37,        2.29,        0.00,        0.00,        0.00,        1.51,        0.00,        0.00
wk01.h080,        1.20,        2.29,        0.69,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h081,        1.13,        2.29,        0.66,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h082,        0.99,        2.29,        0.73,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h083,        0.67,        2.29,        1.00,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h084,        0.58,        2.29,        0.95,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h085,        0.62,        2.29,        0.82,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h086,        0.63,        2.29,        0.73,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h087,        0.55,        2.29,        0.69,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h088,        0.38,        2.29,        0.77,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h089,        0.41,        2.29,        0.76,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h090,        0.40,        2.29,        0.92,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h091,        0.31,        2.29,        1.43,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h092,        0.47,        2.29,        1.62,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h093,        0.63,        2.29,        1.46,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h094,        0.54,        2.29,        1.55,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h095,        0.54,        2.29,        1.28,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h096,        0.46,        2.29,        0.95,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h097,        0.98,        2.29,        0.17,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h098,        0.88,        2.29,        0.16,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h099,        1.18,        2.29,        0.00,        0.00,        0.00,        1.45,        0.00,        0.00
wk01.h100,        1.04,        2.29,        0.00,        0.00,        0.00,        1.55,        0.05,        0.00
wk01.h101,        1.06,        2.29,        0.15,        0.00,        0.00,        1.55,        0.00,        0.00
wk01.h102,        1.02,        2.29,        0.44,        0.00,        0.00,        1.55,        0.00,        0.00
wk01.h103,        0.81,        2.29,        1.13,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h104,        1.12,        2.29,        1.46,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h105,        2.01,        2.29,        0.44,        0.00,        0.00,        1.59,        0.00,        0.00
wk01.h106,        1.84,        2.29,        0.48,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h107,        2.00,        2.29,        0.29,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h108,        2.19,        2.29,        0.15,        0.00,        0.00,        1.46,        0.00,        0.00
wk01.h109,        2.13,        2.29,        0.00,        0.00,        0.00,        1.52,        0.00,        0.00
wk01.h110,        2.00,        2.29,        0.00,        0.00,        0.00,        1.54,        0.00,        0.00
wk01.h111,        1.82,        2.29,        0.00,        0.00,        0.00,        1.55,        0.05,        0.00
wk01.h112,        1.59,        2.29,        0.21,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h113,        0.92,        2.29,        0.83,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h114,        0.65,        2.29,        1.18,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h115,        0.68,        2.29,        1.44,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h116,        0.96,        2.29,        1.35,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h117,        1.07,        2.29,        1.22,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h118,        0.83,        2.29,        1.31,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h119,        1.00,        2.29,        0.86,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h120,        1.24,        2.29,        0.15,        0.00,        0.00,        1.59,        0.00,        0.00
wk01.h121,        0.57,        2.29,        0.49,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h122,        0.53,        2.29,        0.32,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h123,        0.61,        2.29,        0.15,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h124,        0.67,        2.29,        0.15,        0.00,        0.00,        1.52,        0.00,        0.00
wk01.h125,        0.65,        2.29,        0.15,        0.00,        0.00,        1.58,        0.00,        0.00
wk01.h126,        0.72,        2.29,        0.27,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h127,        0.63,        2.29,        0.90,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h128,        0.44,        2.29,        1.68,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h129,        0.40,        2.29,        1.59,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h130,        0.45,        2.29,        1.47,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h131,        0.28,        2.29,        1.69,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h132,        0.27,        2.29,        1.59,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h133,        0.18,        2.29,        1.56,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h134,        0.11,        2.29,        1.55,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h135,        0.14,        2.29,        1.45,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h136,        0.23,        2.29,        1.26,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h137,        0.28,        2.29,        1.26,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h138,        0.70,        2.29,        0.94,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h139,        0.58,        2.29,        1.36,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h140,        0.50,        2.29,        1.69,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h141,        0.44,        2.29,        1.71,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h142,        0.57,        2.29,        1.44,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h143,        0.69,        2.29,        1.08,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h144,        0.73,        2.29,        0.63,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h145,        0.63,        2.29,        0.45,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h146,        0.80,        2.29,        0.29,        0.00,        0.00,        1.45,        0.00,        0.00
wk01.h147,        0.96,        2.29,        0.29,        0.00,        0.00,        1.25,        0.00,        0.00
wk01.h148,        0.76,        2.29,        0.29,        0.00,        0.00,        1.46,        0.00,        0.00
wk01.h149,        0.58,        2.29,        0.42,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h150,        0.47,        2.29,        0.80,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h151,        0.26,        2.29,        1.55,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h152,        0.26,        2.29,        2.18,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h153,        0.14,        2.29,        2.20,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h154,        0.10,        2.29,        2.19,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h155,        0.12,        2.29,        2.21,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h156,        0.15,        2.29,        2.14,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h157,        0.08,        2.29,        2.05,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h158,        0.03,        2.29,        1.93,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h159,        0.03,        2.29,        1.78,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h160,        0.04,        2.29,        1.62,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h161,        0.10,        2.29,        1.53,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h162,        0.13,        2.29,        1.56,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h163,        0.06,        2.29,        1.94,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h164,        0.02,        2.29,        2.29,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h165,        0.10,        2.29,        2.22,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h166,        0.29,        2.29,        2.03,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h167,        0.54,        2.29,        1.63,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h168,        0.90,        2.29,        1.03,        0.00,        0.00,        1.60,        0.00,        0.00
wk02.h001,        0.29,        1.72,        0.49,        0.00,        0.00,        0.80,        0.59,        0.00
wk02.h002,        0.76,        1.72,        0.41,        0.00,        0.00,        0.80,        0.00,        0.00
wk02.h003,        1.20,        1.72,        0.15,        0.00,        0.00,        0.45,        0.00,        0.00
wk02.h004,        1.29,        1.72,        0.15,        0.00,        0.00,        0.29,        0.00,        0.00
wk02.h005,        1.68,        1.32,        0.15,        0.00,        0.00,        0.24,        0.00,        0.00
wk02.h006,        1.72,        1.34,        0.15,        0.00,        0.00,        0.24,        0.00,        0.00
wk02.h007,        1.70,        1.67,        0.00,        0.00,        0.00,        0.24,        0.00,        0.00
wk02.h008,        1.90,        1.72,        0.00,        0.00,        0.00,        0.27,        0.00,        0.00
wk02.h009,        1.92,        1.72,        0.00,        0.00,        0.00,        0.36,        0.00,        0.00
wk02.h010,        2.04,        1.72,        0.00,        0.00,        0.00,        0.42,        0.00,        0.00
wk02.h011,        2.02,        1.72,        0.00,        0.00,        0.00,        0.53,        0.00,        0.00
wk02.h012,        2.57,        1.47,        0.00,        0.00,        0.00,        0.24,        0.00,        0.00
wk02.h013,        2.39,        1.61,        0.00,        0.00,        0.00,        0.24,        0.00,        0.00
wk02.h014,        1.60,        1.72,        0.00,        0.00,        0.00,        0.85,        0.00,        0.00
wk02.h015,        1.08,        1.72,        0.15,        0.00,        0.00,        1.17,        0.00,        0.00
wk02.h016,        0.91,        1.72,        0.26,        0.00,        0.00,        1.20,        0.00,        0.00
wk02.h017,        0.62,        1.72,        0.58,        0.00,        0.00,        1.20,        0.00,        0.00
wk02.h018,        0.42,        1.72,        0.79,        0.00,        0.00,        1.20,        0.00,        0.00
wk02.h019,        0.36,        1.72,        0.85,        0.00,        0.00,        1.20,        0.00,        0.00
wk02.h020,        0.42,        1.72,        0.79,        0.00,        0.00,        1.20,        0.00,        0.00
wk02.h021,        0.57,        1.72,        0.87,        0.00,        0.00,        1.20,        0.00,        0.00
wk02.h022,        0.86,        1.72,        0.59,        0.00,        0.00,        1.20,        0.00,        0.00
wk02.h023,        1.48,        1.72,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00
wk02.h024,        2.04,        1.72,        0.00,        0.00,        0.00,        0.21,        0.00,        0.00
wk02.h025,        2.09,        1.60,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h026,        2.27,        1.23,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h027,        2.27,        1.10,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h028,        2.34,        0.97,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h029,        2.29,        0.97,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h030,        2.27,        1.02,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h031,        2.20,        1.17,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h032,        2.19,        1.29,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h033,        2.35,        1.22,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h034,        2.24,        1.53,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h035,        2.42,        1.50,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h036,        2.53,        1.49,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h037,        2.49,        1.61,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h038,        2.61,        1.58,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h039,        2.52,        1.67,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h040,        2.57,        1.63,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h041,        2.35,        1.72,        0.00,        0.00,        0.00,        0.16,        0.00,        0.00
wk02.h042,        2.55,        1.61,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk02.h043,        2.62,        1.58,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk02.h044,        2.87,        1.37,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk02.h045,        2.86,        1.72,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk02.h046,        2.73,        1.72,        0.00,        0.00,        0.00,        0.25,        0.00,        0.00
wk02.h047,        2.72,        1.66,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk02.h048,        2.94,        1.17,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h049,        2.88,        0.86,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h050,        2.65,        0.86,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h051,        2.54,        0.86,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h052,        2.50,        0.86,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h053,        2.52,        0.86,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h054,        2.65,        0.86,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h055,        2.89,        0.91,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk02.h056,        2.87,        1.43,        0.00,        0.00,        0.00,        0.19,        0.00,        0.00
wk02.h057,        2.76,        1.61,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk02.h058,        2.51,        1.72,        0.00,        0.00,        0.00,        0.32,        0.00,        0.00
wk02.h059,        2.67,        1.72,        0.00,        0.00,        0.00,        0.28,        0.00,        0.00
wk02.h060,        2.63,        1.72,        0.00,        0.00,        0.00,        0.43,        0.00,        0.00
wk02.h061,        2.44,        1.72,        0.00,        0.00,        0.00,        0.66,        0.00,        0.00
wk02.h062,        2.28,        1.72,        0.00,        0.00,        0.00,        0.85,        0.00,        0.00
wk02.h063,        2.03,        1.72,        0.00,        0.00,        0.00,        1.14,        0.00,        0.00
wk02.h064,        1.84,        1.72,        0.16,        0.00,        0.00,        1.20,        0.00,        0.00
wk02.h065,        1.82,        1.72,        0.20,        0.00,        0.00,        1.20,        0.00,        0.00
wk02.h066,        1.98,        1.72,        0.15,        0.00,        0.00,        1.09,        0.00,        0.00
wk02.h067,        2.42,        1.72,        0.15,        0.00,        0.00,        0.58,        0.00,        0.00
wk02.h068,        2.65,        1.72,        0.15,        0.00,        0.00,        0.30,        0.00,        0.00
wk02.h069,        2.66,        1.72,        0.29,        0.00,        0.00,        0.40,        0.00,        0.00
wk02.h070,        2.76,        1.72,        0.15,        0.00,        0.00,        0.40,        0.00,        0.00
wk02.h071,        2.73,        1.72,        0.00,        0.00,        0.00,        0.32,        0.00,        0.00
wk02.h072,        3.03,        1.25,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h073,        2.97,        0.91,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h074,        2.76,        0.90,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h075,        2.68,        0.86,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h076,        2.38,        1.10,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h077,        1.87,        1.62,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h078,        2.06,        1.53,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h079,        2.03,        1.72,        0.00,        0.00,        0.00,        0.21,        0.00,        0.00
wk02.h080,        1.92,        1.72,        0.15,        0.00,        0.00,        0.76,        0.00,        0.00
wk02.h081,        1.71,        1.72,        0.31,        0.00,        0.00,        0.80,        0.00,        0.00
wk02.h082,        1.84,        1.72,        0.20,        0.00,        0.00,        0.80,        0.00,        0.00
wk02.h083,        2.15,        1.72,        0.15,        0.00,        0.00,        0.67,        0.00,        0.00
wk02.h084,        2.16,        1.72,        0.15,        0.00,        0.00,        0.74,        0.00,        0.00
wk02.h085,        1.94,        1.72,        0.15,        0.00,        0.00,        0.99,        0.00,        0.00
wk02.h086,        1.74,        1.72,        0.20,        0.00,        0.00,        1.20,        0.00,        0.00
wk02.h087,        1.67,        1.72,        0.32,        0.00,        0.00,        1.20,        0.00,        0.00
wk02.h088,        1.63,        1.72,        0.41,        0.00,        0.00,        1.20,        0.00,        0.00
wk02.h089,        1.79,        1.72,        0.26,        0.00,        0.00,        1.20,        0.00,        0.00
wk02.h090,        1.96,        1.72,        0.15,        0.00,        0.00,        1.14,        0.00,        0.00
wk02.h091,        2.33,        1.72,        0.00,        0.00,        0.00,        0.84,        0.00,        0.00
wk02.h092,        2.70,        1.72,        0.00,        0.00,        0.00,        0.44,        0.00,        0.00
wk02.h093,        2.73,        1.72,        0.00,        0.00,        0.00,        0.63,        0.00,        0.00
wk02.h094,        2.84,        1.72,        0.00,        0.00,        0.00,        0.50,        0.00,        0.00
wk02.h095,        3.02,        1.65,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk02.h096,        3.12,        1.23,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h097,        3.10,        0.86,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h098,        2.86,        0.86,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h099,        2.74,        0.86,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h100,        2.66,        0.86,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h101,        2.64,        0.86,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h102,        2.74,        0.86,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h103,        2.88,        1.15,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h104,        2.88,        1.67,        0.00,        0.00,        0.00,        0.00,        0.05,        0.00
wk02.h105,        2.90,        1.68,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk02.h106,        2.77,        1.72,        0.00,        0.00,        0.00,        0.13,        0.00,        0.00
wk02.h107,        2.73,        1.72,        0.00,        0.00,        0.00,        0.29,        0.00,        0.00
wk02.h108,        2.28,        1.72,        0.00,        0.00,        0.00,        0.83,        0.00,        0.00
wk02.h109,        2.18,        1.72,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00
wk02.h110,        2.33,        1.72,        0.00,        0.00,        0.00,        0.92,        0.00,        0.00
wk02.h111,        2.33,        1.72,        0.00,        0.00,        0.00,        0.99,        0.00,        0.00
