run_model_name,UnitCommit
run_obj_var,vOpsCost
run_obj_value,     0.00000
run_modstat,14 No Solution Returned
run_solstat,8 User Interrupt
run_mip_gap,NA
run_solver_time_sec,   793.85200
run_mip_nodes,     0.00000
run_time_sec,796
cost_total_Musd,     0.00000
cost_ops_Musd,     0.00000
cost_fixedOM_Musd,     0.00000
cost_varOM_Musd,     0.00000
cost_fuel_Musd,     0.00000
cost_carbon_Musd,     0.00000
cost_non_served_Musd,     0.00000
cost_penalty_Musd,     0.00000
cost_startup_Musd,     0.00000
cost_maint_Musd,     0.00000
CO2e_total_Mt,     0.00000
CO2e_price_usd_t,     0.00000
energy_total_TWh,     0.00000
avg_price_usd_MWh,        UNDF
energy_non_served_GWh,     0.00000
energy_TWh_wind,     0.00000
energy_TWh_Arthur_Von_Rosenberg_Combined,     0.00000
energy_TWh_Bastrop_Combined,     0.00000
energy_TWh_Bosque_County_Peaking_GT_1,     0.00000
energy_TWh_Bosque_County_Peaking_GT_2,     0.00000
energy_TWh_Bosque_County_Peaking_Units3to5_Combo,     0.00000
energy_TWh_Brazoz_Valley_Generating_Facility_Combo,     0.00000
energy_TWh_Coleto_Creek_1,     0.00000
energy_TWh_Colorado_Bend_Energy_Center_Combined_1,     0.00000
energy_TWh_Colorado_Bend_Energy_Center_Combined_2,     0.00000
energy_TWh_DeCordova_Steam_Electric_Station_CT4,     0.00000
energy_TWh_Ennis_Power_Company_Combined,     0.00000
energy_TWh_Fayette_Power_Project_1,     0.00000
energy_TWh_Fayette_Power_Project_2,     0.00000
energy_TWh_Fayette_Power_Project_3,     0.00000
energy_TWh_Permian_Basin_CT2,     0.00000
energy_TWh_Permian_Basin_CT3,     0.00000
energy_TWh_R_W_Miller_4,     0.00000
energy_TWh_R_W_Miller_5,     0.00000
energy_TWh_San_Jacinto_Steam_Electric_Station_1,     0.00000
energy_TWh_San_Jacinto_Steam_Electric_Station_2,     0.00000
energy_TWh_new_coal_st,     0.00000
energy_TWh_new_ng_cc,     0.00000
energy_TWh_new_ng_gt_aero,     0.00000
energy_TWh_new_nuke_st,     0.00000
RPS_target_fraction,     0.00000
renew_fraction,        UNDF
shed_GWh_wind,   920.05751
avg_starts_wind,     0.00000
avg_starts_Arthur_Von_Rosenberg_Combined,     0.00000
avg_starts_Bastrop_Combined,     0.00000
avg_starts_Bosque_County_Peaking_GT_1,     0.00000
avg_starts_Bosque_County_Peaking_GT_2,     0.00000
avg_starts_Bosque_County_Peaking_Units3to5_Combo,     0.00000
avg_starts_Brazoz_Valley_Generating_Facility_Combo,     0.00000
avg_starts_Coleto_Creek_1,     0.00000
avg_starts_Colorado_Bend_Energy_Center_Combined_1,     0.00000
avg_starts_Colorado_Bend_Energy_Center_Combined_2,     0.00000
avg_starts_DeCordova_Steam_Electric_Station_CT4,     0.00000
avg_starts_Ennis_Power_Company_Combined,     0.00000
avg_starts_Fayette_Power_Project_1,     0.00000
avg_starts_Fayette_Power_Project_2,     0.00000
avg_starts_Fayette_Power_Project_3,     0.00000
avg_starts_Permian_Basin_CT2,     0.00000
avg_starts_Permian_Basin_CT3,     0.00000
avg_starts_R_W_Miller_4,     0.00000
avg_starts_R_W_Miller_5,     0.00000
avg_starts_San_Jacinto_Steam_Electric_Station_1,     0.00000
avg_starts_San_Jacinto_Steam_Electric_Station_2,     0.00000
avg_starts_new_coal_st,     0.00000
avg_starts_new_ng_cc,     0.00000
avg_starts_new_ng_gt_aero,     0.00000
avg_starts_new_nuke_st,     0.00000
demand_max_GW,     5.88905
data_dur_hr,  8759.52000
cap_total_GW_wind,     0.40000
cap_total_GW_Arthur_Von_Rosenberg_Combined,     0.55000
cap_total_GW_Bastrop_Combined,     0.72780
cap_total_GW_Bosque_County_Peaking_GT_1,     0.15400
cap_total_GW_Bosque_County_Peaking_GT_2,     0.15400
cap_total_GW_Bosque_County_Peaking_Units3to5_Combo,     0.49900
cap_total_GW_Brazoz_Valley_Generating_Facility_Combo,     0.67560
cap_total_GW_Coleto_Creek_1,     0.60040
cap_total_GW_Colorado_Bend_Energy_Center_Combined_1,     0.27810
cap_total_GW_Colorado_Bend_Energy_Center_Combined_2,     0.27810
cap_total_GW_DeCordova_Steam_Electric_Station_CT4,     0.08940
cap_total_GW_Ennis_Power_Company_Combined,     0.41800
cap_total_GW_Fayette_Power_Project_1,     0.61500
cap_total_GW_Fayette_Power_Project_2,     0.61500
cap_total_GW_Fayette_Power_Project_3,     0.46000
cap_total_GW_Permian_Basin_CT2,     0.08940
cap_total_GW_Permian_Basin_CT3,     0.08940
cap_total_GW_R_W_Miller_4,     0.11880
cap_total_GW_R_W_Miller_5,     0.11880
cap_total_GW_San_Jacinto_Steam_Electric_Station_1,     0.08820
cap_total_GW_San_Jacinto_Steam_Electric_Station_2,     0.08820
cap_total_GW_new_coal_st,     0.00000
cap_total_GW_new_ng_cc,     0.00000
cap_total_GW_new_ng_gt_aero,     0.00000
cap_total_GW_new_nuke_st,     0.00000
in_CO2e_cost_usd_ton,      0.00000
in_CO2e_cap_Kt,         +INF
demand_scale,     0.09500
WACC,     0.09000
in_non_served_price_usd_MWh,  50000.00000
data_dir, ../data/
data_sys, miniE_sys.inc
data_demand, ercot2007_dem_yr_as_5wk.inc
data_fuel, thesis_fuel.inc
data_gens, miniE_units_sep.inc
data_gparams, eia_aeo2011_gen_params.inc
data_avail, ercot2007_avail.inc
uc_integer_wind,          NA
uc_integer_Arthur_Von_Rosenberg_Combined,     1.00000
uc_integer_Bastrop_Combined,     1.00000
uc_integer_Bosque_County_Peaking_GT_1,     1.00000
uc_integer_Bosque_County_Peaking_GT_2,     1.00000
uc_integer_Bosque_County_Peaking_Units3to5_Combo,     1.00000
uc_integer_Brazoz_Valley_Generating_Facility_Combo,     1.00000
uc_integer_Coleto_Creek_1,     1.00000
uc_integer_Colorado_Bend_Energy_Center_Combined_1,     1.00000
uc_integer_Colorado_Bend_Energy_Center_Combined_2,     1.00000
uc_integer_DeCordova_Steam_Electric_Station_CT4,     1.00000
uc_integer_Ennis_Power_Company_Combined,     1.00000
uc_integer_Fayette_Power_Project_1,     1.00000
uc_integer_Fayette_Power_Project_2,     1.00000
uc_integer_Fayette_Power_Project_3,     1.00000
uc_integer_Permian_Basin_CT2,     1.00000
uc_integer_Permian_Basin_CT3,     1.00000
uc_integer_R_W_Miller_4,     1.00000
uc_integer_R_W_Miller_5,     1.00000
uc_integer_San_Jacinto_Steam_Electric_Station_1,     1.00000
uc_integer_San_Jacinto_Steam_Electric_Station_2,     1.00000
uc_integer_new_coal_st,     1.00000
uc_integer_new_ng_cc,     1.00000
uc_integer_new_ng_gt_aero,     1.00000
uc_integer_new_nuke_st,     1.00000
flag_startup, 1
flag_unit_commit, 1
flag_ramp, 1
flag_ignore_integer, 0
flag_uc_lp, 0
flag_avg_avail, 0
flag_ignore_cap_credit, 0
flag_no_capital, 0
valflag_uc_ignore_unit_min, 0
valflag_uc_int_unit_min, 0
flag_uc_lp, 0
valflag_rsrv, separate
flag_separate_rsrv, 1
flag_flex_rsrv, 0
flag_no_quick_st, 0
valflag_non_uc_rsrv_up_offline, 0
valflag_non_uc_rsrv_down_offline, 0
flag_adj_rsrv_for_nse, 0
valflag_rps_penalty, off
flag_force_renewables, 0
flag_fix_cap, 1
flag_max_start, 0
flag_min_up_down, 1
flag_pwl_cost, 0
valflag_p0_recover, 0.85
flag_pwl2afine, 0
valflag_force_gen_size, off
valflag_min_gen_size, off
flag_derate, 0
flag_derate_to_maint, 0
flag_from_scratch, 0
flag_basic_pmin, 0
valflag_plan_margin, off
valflag_plan_margin_penalty, off
flag_overbuild, 0
flag_skip_cap_limit, 0
flag_maint, 1
valflag_max_maint, 0.15
valflag_retire, off
flag_maint_lp, 0
valflag_max_solve_time, 10800
valflag_mip_gap, 0.001
valflag_par_threads, 1
flag_priority, 0
valflag_cheat, off
valflag_rel_cheat, 0
model_num_eq,322167
model_num_var,265026
model_num_discrete_var,50700
model_num_nonzero,1332645
